h;neff1;neff2
10,000000;1,354878;1,347142
10,100000;1,354910;1,347211
10,200000;1,354878;1,347142
10,300000;1,354910;1,347211
10,400000;1,354878;1,347142
10,500000;1,354910;1,347211
10,600000;1,354878;1,347142
10,700000;1,354910;1,347211
10,800000;1,354878;1,347142
10,900000;1,354910;1,347211
11,000000;1,354878;1,347142
11,100000;1,354910;1,347211
11,200000;1,354878;1,347142
11,300000;1,354910;1,347211
11,400000;1,354878;1,347142
11,500000;1,354910;1,347211
11,600000;1,354878;1,347142
11,700000;1,354910;1,347211
11,800000;1,354878;1,347142
11,900000;1,354910;1,347211
12,000000;1,354878;1,347142
12,100000;1,354910;1,347211
12,200000;1,354878;1,347142
12,300000;1,354910;1,347211
12,400000;1,354878;1,347142
12,500000;1,354910;1,347211
12,600000;1,354878;1,347142
12,700000;1,354910;1,347211
12,800000;1,354878;1,347142
12,900000;1,354910;1,347211
13,000000;1,354878;1,347142
13,100000;1,354910;1,347211
13,200000;1,354878;1,347142
13,300000;1,354910;1,347211
13,400000;1,354878;1,347142
13,500000;1,354910;1,347211
13,600000;1,354878;1,347142
13,700000;1,354910;1,347211
13,800000;1,354878;1,347142
13,900000;1,354910;1,347211
14,000000;1,354878;1,347142
14,100000;1,354910;1,347211
14,200000;1,354878;1,347142
14,300000;1,354910;1,347211
14,400000;1,354878;1,347142
14,500000;1,354910;1,347211
14,600000;1,354878;1,347142
14,700000;1,354910;1,347211
14,800000;1,354878;1,347142
14,900000;1,354910;1,347211
15,000000;1,354878;1,347142
15,100000;1,354910;1,347211
15,200000;1,354878;1,347142
15,300000;1,354910;1,347211
15,400000;1,354878;1,347142
15,500000;1,354910;1,347211
15,600000;1,354878;1,347142
15,700000;1,354910;1,347211
15,800000;1,354878;1,347142
15,900000;1,354910;1,347211
16,000000;1,354878;1,347142
16,100000;1,354910;1,347211
16,200000;1,354878;1,347142
16,300000;1,354910;1,347211
16,400000;1,354878;1,347142
16,500000;1,354910;1,347211
16,600000;1,354878;1,347142
16,700000;1,354910;1,347211
16,800000;1,354878;1,347142
16,900000;1,354910;1,347211
17,000000;1,354878;1,347142
17,100000;1,354910;1,347211
17,200000;1,354878;1,347142
17,300000;1,354910;1,347211
17,400000;1,354878;1,347142
17,500000;1,354910;1,347211
17,600000;1,354878;1,347142
17,700000;1,354910;1,347211
17,800000;1,354878;1,347142
17,900000;1,354910;1,347211
18,000000;1,354878;1,347142
18,100000;1,354910;1,347211
18,200000;1,354878;1,347142
18,300000;1,354910;1,347211
18,400000;1,354878;1,347142
18,500000;1,354910;1,347211
