lambda;result;
1,000000;0,000137;
1,010000;0,000097;
1,020000;0,000058;
1,030000;0,000018;
1,040000;-0,000021;
1,050000;-0,000060;
1,060000;-0,000099;
1,070000;-0,000137;
1,080000;-0,000176;
1,090000;-0,000215;
1,100000;-0,000253;
1,110000;-0,000292;
1,120000;-0,000330;
1,130000;-0,000368;
1,140000;-0,000407;
1,150000;-0,000445;
1,160000;-0,000483;
1,170000;-0,000521;
1,180000;-0,000559;
1,190000;-0,000597;
1,200000;-0,000635;
1,210000;-0,000673;
1,220000;-0,000711;
1,230000;-0,000749;
1,240000;-0,000788;
1,250000;-0,000826;
1,260000;-0,000864;
1,270000;-0,000902;
1,280000;-0,000940;
1,290000;-0,000978;
1,300000;-0,001017;
